Name,Role,State,District,Party,Served,Active On X,Account,tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
"Johnson, Henry C. ""Hank""",Representative,Georgia,4,Democratic,House: 2007-Present,Yes,RepHankJohnson,'1854312816800592282',"NEW for 2025! DACA recipients now have the opportunity to sign up for affordable health coverage. Plans cover essential benefits like doctors visits, mental health, preventive health, and more! Enroll today at https://t.co/y4ya5tCYNP. #GetCovered #DACA #healthcare #Obamacare https://t.co/8MNPsjIOs0",en,Tweet,1,7,3,10,1383.0,2024-11-07 00:00:01,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#GetCovered,#DACA,#healthcare,#Obamacare",http://HealthCare.gov,photo,https://pbs.twimg.com/media/GbpaQyJXQAAHU5I.jpg
"Johnson, Henry C. ""Hank""",Representative,Georgia,4,Democratic,House: 2007-Present,Yes,RepHankJohnson,'1854312816783597827',"¡NUEVO para 2025! Los beneficiarios de DACA ahora tienen la oportunidad de inscribirse en una cobertura de salud asequible. ¡Los planes cubren beneficios esenciales como visitas al médico, salud mental, atención preventiva y más! ¡Inscríbete hoy en https://t.co/BlXvIoMLO3 #DACA https://t.co/FFBgEAOdBB",es,Tweet,0,1,0,4,647.0,2024-11-07 00:00:01,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#DACA,http://CuidadodeSalud.gov,photo,https://pbs.twimg.com/media/GbpaagEW0AA_X-I.jpg
"Lucas, Frank D.",Representative,Oklahoma,3,Republican,House: 1993-Present,Yes,RepFrankLucas,'1854314202241917243',"Congratulations to President Trump and my Congressional colleagues on remarkable victories! 

I will keep monitoring the remaining House races, but I am optimistic that we will maintain our majority and return to a strong economy, secure borders, and peace through strength.",en,Tweet,1,13,1,6,1909.0,2024-11-07 00:05:31,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
"Greene, Marjorie Taylor",Representative,Georgia,14,Republican,House: 2021-Present,Yes,RepMTG,'1854317467117744143',"Only Americans should be voting in American elections!

I currently have a bill included in a larger Republican election integrity package in the House that would require proof of citizenship to vote in American elections.

We must get it passed. https://t.co/2Ka8coCFDk",en,Tweet,160,15617,2679,649,244264.0,2024-11-07 00:18:30,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1854317333306626073/vid/avc1/1280x720/iEfot-nM-rJft4FJ.mp4?tag=16
"Collins, Mike",Representative,Georgia,10,Republican,House: 2023-Present,Yes,RepMikeCollins,'1854317599821087028',Wonder if the media and leftist bureaucrats regret attacking and harassing @elonmusk so obnoxiously?,en,Tweet,1,154,12,16,11432.0,2024-11-07 00:19:02,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,
"Stefanik, Elise M.",Representative,New York,21,Republican,House: 2015-Present,Yes,RepStefanik,'1854320362504204344',"Corrupt Andrew Cuomo will NEVER hold public office again.

On behalf of the countless families who continue to mourn the unnecessary loss of their loved ones, disgraced former Governor Andrew Cuomo will be held accountable.

https://t.co/D0nDZopnpp",en,Tweet,15,1305,289,84,63731.0,2024-11-07 00:30:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.politico.com/news/2024/10/31/cuomo-covid-criminal-referral-00186652,,
"Cuellar, Henry",Representative,Texas,28,Democratic,House: 2005-Present,Yes,RepCuellar,'1854325275427053932',"I had a lovely time at La Casa de Frida here in Laredo! The meal was absolutely delicious, and I had the pleasure of meeting several constituents who took the time to congratulate me. It's always a great experience connecting with the community while supporting local spots like this!",en,Tweet,0,11,0,6,2076.0,2024-11-07 00:49:32,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/GbvjAW2XYBEn_Nr.jpg,https://pbs.twimg.com/media/GbvjAW2XsAUIJJQ.jpg,https://pbs.twimg.com/media/GbvjAW3XEAYIo7E.jpg,https://pbs.twimg.com/media/GbvjAW1WYAs60sD.jpg"
"Kim, Young",Representative,California,40,Republican,House: 2021-Present,Yes,RepYoungKim,'1854327911056388122',The American Dream is always WORTH fighting for! 🇺🇸,en,Tweet,0,108,12,5,3777.0,2024-11-07 01:00:00,"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>",,,,
"Blackburn, Marsha",Senator,Tennessee,,Republican,"Senate: 2019-Present, House: 2003-2019",Yes,MarshaBlackburn,'1854333236073115716',"Between record-high inflation to the worst border crisis in our nation’s history, the list of this administration’s failures are one too many to name.",en,Tweet,8,991,134,144,30230.0,2024-11-07 01:21:09,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
"Bonamici, Suzanne",Representative,Oregon,1,Democratic,House: 2012-Present,Yes,RepBonamici,'1854336222384336910',https://t.co/apld0J8uWF,zxx,Tweet,1,55,5,68,5739.0,2024-11-07 01:33:01,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/Gbvs92JX0AwqE04.jpg
