Name,Role,State,District,Party,Served,Active On X,Account,tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
"Titus, Dina",Representative,Nevada,1,Democratic,"House: 2009-2011, 2013-Present",Yes,repdinatitus,'1917715588446667212',"Trump and @HouseGOP are coming for WIC and SNAP, leaving children and families hungry. That is cruel and unjust. https://t.co/q2PXSouWpD",en,Tweet,0,2,3,6,550.0,2025-05-01 00:00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1917689714531770369/vid/avc1/1080x1920/vIYqL4nXLyux3kiN.mp4?tag=16
"Wittman, Robert J.",Representative,Virginia,1,Republican,House: 2007-Present,Yes,RobWittman,'1917715598391263281',"I always appreciate the opportunity to connect with local journalists and share the important work happening across our Commonwealth.

It was great meeting with @DaveRess1 at @RTDNEWS’s Hanover office to talk about the Chesapeake Bay, shipbuilding, and what I am working on in Congress.",en,Tweet,0,4,1,4,569.0,2025-05-01 00:00:02,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,photo,"https://pbs.twimg.com/media/Gpzt1-aXMAE4g2N.jpg,https://pbs.twimg.com/media/Gpzt1-bXcAENi43.jpg,https://pbs.twimg.com/media/Gpzt1-ZXUAEK11t.jpg"
"Stansbury, Melanie A.",Representative,New Mexico,1,Democratic,House: 2021-Present,Yes,Rep_Stansbury,'1917715597884059688',"We’re here fighting to protect Social Security, Medicaid, and vital programs.

Because we know—that nearly two-thirds of Americans oppose what DOGE and the GOP are trying to do here today.

To everyone out there worried—to our seniors and elders, people living with disabilities, working moms, kids, and folks just struggling to get by—know that we see you, we hear you, and we are fighting for you every day!",en,Tweet,15,1272,488,495,19189.0,2025-05-01 00:00:02,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,video,https://video.twimg.com/amplify_video/1917707283980513280/vid/avc1/1280x720/rh4TzaXMvaByLStU.mp4?tag=16
"Smith, Jason",Representative,Missouri,8,Republican,House: 2013-Present,Yes,RepJasonSmith,'1917715625708839334',"TUNE IN: Shortly, I’ll be joining the @IngrahamAngle to discuss components of the House’s tax package and how we will deliver President Trump’s tax agenda.",en,Tweet,1,21,5,10,1641.0,2025-05-01 00:00:09,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,,
"Wilson, Frederica S.",Representative,Florida,24,Democratic,House: 2011-Present,Yes,RepWilson,'1917715714829324305',"Every Wednesday is #WearBlueWednesday because enough is enough. 

It's time we #BringBackTheHostages. 

#BringThemHomeNow🎗️ https://t.co/ra8crbymLI",en,Tweet,1,6,0,0,737.0,2025-05-01 00:00:30,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#WearBlueWednesday,#BringBackTheHostages,#BringThemHomeNow",,photo,https://pbs.twimg.com/media/Gp0YR2kW0AAlUHh.jpg
"Green, Mark E.",Representative,Tennessee,7,Republican,House: 2019-2025,Yes,RepMarkGreen,'1917715712749031716',"The American people set the agenda for President Trump’s first 100 days. Key priorities? 
➡️ American families
➡️ American patients
➡️ American small businesses",en,Tweet,0,34,4,13,1041.0,2025-05-01 00:00:30,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",,,,
"Baldwin, Tammy",Senator,Wisconsin,,Democratic,"Senate: 2013-Present, House: 1999-2013",Yes,SenatorBaldwin,'1917715757158236303',"Emily’s 3-year-old Charlie was diagnosed with Stage 4 cancer. Charlie is alive because of clinical trials at a National Cancer Center.

I uncovered that Trump is stopping $47 million from these cancer centers.

I asked Emily what this means to families like hers. Worth watching: https://t.co/ZxUfHAVpfM",en,Tweet,7,189,88,100,5348.0,2025-05-01 00:00:40,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1917712980294180865/vid/avc1/1080x1920/tyq8YyON8LUukOmm.mp4?tag=16
"Gill, Brandon",Representative,Texas,26,Republican,House: 2025-Present,Yes,RepBrandonGill,'1917716191503700032',"The rescissions package to defund NPR &amp; PBS could not come any sooner. 

Our tax dollars shouldn’t be funding institutions that promote values Americans find repugnant. https://t.co/ACl99E7q24",en,Tweet,408,33457,6866,1157,370729.0,2025-05-01 00:02:24,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1917716130296147968/vid/avc1/640x360/vmh5dHXVO7RPGcaM.mp4?tag=16
"Harris, Andy",Representative,Maryland,1,Republican,House: 2011-Present,Yes,RepAndyHarrisMD,'1917716723618243018',"“It should scare every senior that we are spending more on medical care for healthy, able-bodied adults in the Medicaid program than for our seniors.”

More in my House Floor speech below ⤵️ https://t.co/qk7wUT2P9J",en,Tweet,11,273,79,24,11494.0,2025-05-01 00:04:31,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1917716629019881472/vid/avc1/886x492/tPRvu-_xE7tsns1t.mp4?tag=16
"Davis, Donald G.",Representative,North Carolina,1,Democratic,House: 2023-Present,Yes,RepDonDavis,'1917716737891410215',"The ""Meet the Residents Where They Are"" tour was a powerful reminder of why my team and I serve the First Congressional District. From classrooms to factories and quilters to tornado survivors, we connected with the people who make eastern North Carolina special. https://t.co/clU4hTyxcy",en,Tweet,0,2,0,1,308.0,2025-05-01 00:04:34,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1917716611848445952/vid/avc1/1280x720/B6ThJ29-YvdBJcdi.mp4?tag=16
